[2026-06-25T04:11:37.708Z] GET http://127.0.0.1:52963/welcome → 200 (175ms, 9188B)
[2026-06-25T04:12:10.205Z] GET https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/_next/static/chunks/6604-039a4c9b07d1264b.js → pending (?ms, ?B)
[2026-06-25T04:12:10.205Z] GET https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/_next/static/chunks/1997-2df15a7e9a2bbbab.js → pending (?ms, ?B)
[2026-06-25T04:12:10.205Z] GET https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/_next/static/chunks/5537-18183b25a1607461.js → pending (?ms, ?B)
[2026-06-25T04:12:10.205Z] GET https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/_next/static/chunks/9505-8e88b4288fde373c.js → pending (?ms, ?B)
[2026-06-25T04:12:10.205Z] GET https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/_next/static/chunks/607-f2e0f976083ed50c.js → pending (?ms, ?B)
[2026-06-25T04:12:10.205Z] GET https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/_next/static/chunks/302-e38fbe1deb278efc.js → pending (?ms, ?B)
[2026-06-25T04:12:10.205Z] GET https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/_next/static/chunks/7953-b1ba7a4f99315d2f.js → pending (?ms, ?B)
[2026-06-25T04:12:10.205Z] GET https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/_next/static/chunks/3393-04136173462a0ae0.js → pending (?ms, ?B)
[2026-06-25T04:12:10.205Z] GET https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/_next/static/chunks/2552-7ecdfb7ca0c43f77.js → pending (?ms, ?B)
[2026-06-25T04:12:10.205Z] GET https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/_next/static/chunks/pages/review/%5BbusinessUnit%5D-ddf0f8a65464479b.js → pending (?ms, ?B)
[2026-06-25T04:12:10.205Z] GET https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/_next/static/businessunitprofile-consumersite-2.7037.0/_buildManifest.js → pending (?ms, ?B)
[2026-06-25T04:12:10.205Z] GET https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/_next/static/businessunitprofile-consumersite-2.7037.0/_ssgManifest.js → pending (?ms, ?B)
[2026-06-25T04:12:10.205Z] GET https://cdn.trustpilot.net/brand-assets/4.3.0/logo-white.svg → pending (?ms, ?B)
[2026-06-25T04:12:10.205Z] GET https://consumersiteimages.trustpilot.net/business-units/655cc467eee2b94b13da6cb2-198x149-2x.avif → pending (?ms, ?B)
[2026-06-25T04:12:10.205Z] GET https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-4.5.svg → pending (?ms, ?B)
[2026-06-25T04:12:10.205Z] GET https://businessunitprofile-cdn.trustpilot.net/businessunitprofile-consumersite/public/trustpilot-shield.svg → pending (?ms, ?B)
[2026-06-25T04:12:10.205Z] GET https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg → pending (?ms, ?B)
[2026-06-25T04:12:10.205Z] GET https://www.trustpilot.com/manifest.json → 200 (180ms, 555B)
[2026-06-25T04:12:10.207Z] GET https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-4.svg → pending (?ms, ?B)
